File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
EK_p_0.6_nVertices_300_maxValue_20.txt,EK,0.6,300,20,0.035,0.054,0.071499,0.076,0.0555
Dinic_p_0.6_nVertices_300_maxValue_20.txt,Dinic,0.6,300,20,0.001,0.0015,0.001499,0.000997,0.003
MPM_p_0.6_nVertices_300_maxValue_30.txt,MPM,0.6,300,30,0.013002,0.003501,0.004998,0.0095,0.008002
EK_p_0.6_nVertices_300_maxValue_30.txt,EK,0.6,300,30,0.059501,0.062501,0.054,0.078502,0.058001
Dinic_p_0.6_nVertices_300_maxValue_30.txt,Dinic,0.6,300,30,0.001999,0.001502,0.0015,0.001,0.001502
MPM_p_0.6_nVertices_300_maxValue_50.txt,MPM,0.6,300,50,0.0065,0.0055,0.004,0.008498,0.007
EK_p_0.6_nVertices_300_maxValue_50.txt,EK,0.6,300,50,0.051498,0.043498,0.081499,0.074001,0.058997
Dinic_p_0.6_nVertices_300_maxValue_50.txt,Dinic,0.6,300,50,0.002999,0.001499,0.001499,0.002,0.000999
MPM_p_0.6_nVertices_300_maxValue_80.txt,MPM,0.6,300,80,0.01,0.006999,0.0065,0.0045,0.007997
EK_p_0.6_nVertices_300_maxValue_80.txt,EK,0.6,300,80,0.082499,0.0975,0.040002,0.050001,0.050501
Dinic_p_0.6_nVertices_300_maxValue_80.txt,Dinic,0.6,300,80,0.0045,0.003,0.001999,0.002999,0.002501
MPM_p_0.6_nVertices_300_maxValue_130.txt,MPM,0.6,300,130,0.006001,0.01,0.0075,0.007,0.0035
EK_p_0.6_nVertices_300_maxValue_130.txt,EK,0.6,300,130,0.081,0.061999,0.050499,0.0505,0.074502
Dinic_p_0.6_nVertices_300_maxValue_130.txt,Dinic,0.6,300,130,0.003,0.001499,0.003,0.003,0.003497
MPM_p_0.6_nVertices_300_maxValue_210.txt,MPM,0.6,300,210,0.011002,0.006501,0.011,0.0055,0.011501
EK_p_0.6_nVertices_300_maxValue_210.txt,EK,0.6,300,210,0.0525,0.072998,0.069501,0.083499,0.066
Dinic_p_0.6_nVertices_300_maxValue_210.txt,Dinic,0.6,300,210,0.0015,0.002499,0.004001,0.002001,0.002
MPM_p_0.6_nVertices_300_maxValue_340.txt,MPM,0.6,300,340,0.0085,0.0075,0.009,0.007502,0.005499
EK_p_0.6_nVertices_300_maxValue_340.txt,EK,0.6,300,340,0.098499,0.057501,0.052501,0.0995,0.084999
Dinic_p_0.6_nVertices_300_maxValue_340.txt,Dinic,0.6,300,340,0.001,0.002,0.003002,0.001501,0.001
MPM_p_0.6_nVertices_300_maxValue_500.txt,MPM,0.6,300,500,0.006499,0.009002,0.005501,0.008499,0.006501
EK_p_0.6_nVertices_300_maxValue_500.txt,EK,0.6,300,500,0.077,0.072499,0.061,0.052501,0.0805
Dinic_p_0.6_nVertices_300_maxValue_500.txt,Dinic,0.6,300,500,0.0025,0.0015,0.001501,0.000999,0.001
MPM_p_0.6_nVertices_350_maxValue_10.txt,MPM,0.6,350,10,0.0065,0.012501,0.005501,0.007499,0.006
EK_p_0.6_nVertices_350_maxValue_10.txt,EK,0.6,350,10,0.076,0.109999,0.078501,0.091999,0.055003
