File,Algorithm,P,n_vertices,max_cap,MeanTime
MPM_p_0.25_nVertices_1300_maxValue_20.txt,MPM,0.25,1300,20,0.1549992
EK_p_0.25_nVertices_1300_maxValue_20.txt,EK,0.25,1300,20,1.5154999999999998
Dinic_p_0.25_nVertices_1300_maxValue_20.txt,Dinic,0.25,1300,20,0.0434006
MPM_p_0.25_nVertices_1300_maxValue_30.txt,MPM,0.25,1300,30,0.1593998
EK_p_0.25_nVertices_1300_maxValue_30.txt,EK,0.25,1300,30,1.6415
Dinic_p_0.25_nVertices_1300_maxValue_30.txt,Dinic,0.25,1300,30,0.064
MPM_p_0.25_nVertices_1300_maxValue_50.txt,MPM,0.25,1300,50,0.1587
EK_p_0.25_nVertices_1300_maxValue_50.txt,EK,0.25,1300,50,1.4464000000000001
Dinic_p_0.25_nVertices_1300_maxValue_50.txt,Dinic,0.25,1300,50,0.05000020000000001
MPM_p_0.25_nVertices_1300_maxValue_80.txt,MPM,0.25,1300,80,0.1769002
EK_p_0.25_nVertices_1300_maxValue_80.txt,EK,0.25,1300,80,0.6136001999999999
Dinic_p_0.25_nVertices_1300_maxValue_80.txt,Dinic,0.25,1300,80,0.0474002
MPM_p_0.25_nVertices_1300_maxValue_130.txt,MPM,0.25,1300,130,0.14439980000000002
EK_p_0.25_nVertices_1300_maxValue_130.txt,EK,0.25,1300,130,1.6287002000000002
Dinic_p_0.25_nVertices_1300_maxValue_130.txt,Dinic,0.25,1300,130,0.0673
MPM_p_0.25_nVertices_1300_maxValue_210.txt,MPM,0.25,1300,210,0.2003
EK_p_0.25_nVertices_1300_maxValue_210.txt,EK,0.25,1300,210,1.7285002000000003
Dinic_p_0.25_nVertices_1300_maxValue_210.txt,Dinic,0.25,1300,210,0.0556002
MPM_p_0.25_nVertices_1300_maxValue_340.txt,MPM,0.25,1300,340,0.165301
EK_p_0.25_nVertices_1300_maxValue_340.txt,EK,0.25,1300,340,2.4027000000000003
Dinic_p_0.25_nVertices_1300_maxValue_340.txt,Dinic,0.25,1300,340,0.0565002
MPM_p_0.25_nVertices_1300_maxValue_500.txt,MPM,0.25,1300,500,0.15360000000000001
EK_p_0.25_nVertices_1300_maxValue_500.txt,EK,0.25,1300,500,2.4646002
Dinic_p_0.25_nVertices_1300_maxValue_500.txt,Dinic,0.25,1300,500,0.0426994
MPM_p_0.25_nVertices_2100_maxValue_10.txt,MPM,0.25,2100,10,0.6164006
EK_p_0.25_nVertices_2100_maxValue_10.txt,EK,0.25,2100,10,7.685900000000001
Dinic_p_0.25_nVertices_2100_maxValue_10.txt,Dinic,0.25,2100,10,0.2784008
MPM_p_0.25_nVertices_2100_maxValue_20.txt,MPM,0.25,2100,20,0.5212998
